Tanggal,ID Transaksi,Items
2021-04-02,PJ0002,"Grape Candy Duren Simadu,Filter Regular 50gr"
2021-04-09,PJ0003,"3P ONAN 50gr Pink,3P ONAN 50gr Hitam,Surya JR Rokok 50gr,Samsu Premium JR Rokok 100gr,Leci ICE Jago rasa New50,Banana ICE Jago rasa New50,Indomie Goreng,Violin 40gr,GAYO,Guntur Simadu,Filter Mild 14gr,Filter Klik Regular Menthol,Filter Regular 14gr,Filter Mild 50gr,RM,Buffalo Polos,Buffalo Baret"
2021-04-09,PJ0004,"3PUTRI Cap Nona 100gr Pink,3P Cap Nona 100gr Pink,3P ONAN 50gr Putih,3P ONAN 50gr Hitam,3PUTRI Cap Nona 50gr merah,3P DARMAWANGI 100G,Marlboro Merah JR Rokok 100gr,Jago Mole 333 Hijau,melon Jago rasa New50,Indomie Goreng,Violin 40gr,Whiskey Duren Simadu,Green tea Duren Simadu,Jamaica Esse Duren Simadu,Alat Linting Kecil Regular,Filter Mild 14gr,Filter Klik Regular Menthol,RM,Buffalo Baret,Mars Brand,Jamaica Esse Duren Simadu Menthol,3PUTRI Cap Nona 170gr Putih,Ppir Naraya"
2021-04-09,PJ0004,"3PUTRI Cap Nona 100gr Pink,3P Cap Nona 100gr Pink,3P ONAN 50gr Putih,3P ONAN 50gr Hitam,3PUTRI Cap Nona 50gr merah,3P DARMAWANGI 100G,Marlboro Merah JR Rokok 100gr,Jago Mole 333 Hijau,melon Jago rasa New50,Indomie Goreng,Violin 40gr,Whiskey Duren Simadu,Green tea Duren Simadu,Jamaica Esse Duren Simadu,Alat Linting Kecil Regular,Filter Mild 14gr,Filter Klik Regular Menthol,RM,Buffalo Baret,Mars Brand,Jamaica Esse Duren Simadu Menthol,3PUTRI Cap Nona 170gr Putih,Ppir Naraya"
2021-04-09,PJ0006,"3P ONAN 50gr Pink,3PUTRI Cap Nona 50gr merah,Sampoerna Mild JR Rokok 50gr,Samsu Premium JR Rokok 50gr,Jago Mole 333 Hijau,Strawberry Millky SW PREMIUM,Filter Klik Regular Menthol,Buffalo Baret"
2021-04-09,PJ0007,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,Black Coffe SW Prime,Guntur Simadu Menthol (Hijau),Redwine Duren Simadu,Grape Candy Duren Simadu,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Lem V-tro besar 25gr,Filter Mild 14gr,Filter Regular 50gr,Papir rokok,RM,Buffalo Baret"
2021-04-09,PJ0008,"3PUTRI Cap Nona 120gr Hitam,3PUTRI Cap Nona 100gr Pink,3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 120gr Hitam,3P Cap Nona 100gr Pink,3P Cap Nona 75gr Hijau,3P DARMAWANGI 100G,Surya JR Rokok 50gr,Samsu Premium JR Rokok 50gr,Surya JR Rokok 100gr,Samsu Premium JR Rokok 100gr,Mole Cap Jago Putih 100 gr,Banana ICE Jago rasa New50,Indomie Goreng,Violin 40gr,Strawberry Millky SW PREMIUM,Black Coffe SW Prime,GAYO,Brandy Duren Simadu,Alat Linting Kecil Regular,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Filter Mild 14gr,Filter Mild 50gr,Papir rokok,RM,Buffalo Baret,Jamaica Esse Duren Simadu Menthol,kotak jinggo"
2021-04-09,PJ0008,"3PUTRI Cap Nona 120gr Hitam,3PUTRI Cap Nona 100gr Pink,3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 120gr Hitam,3P Cap Nona 100gr Pink,3P Cap Nona 75gr Hijau,3P DARMAWANGI 100G,Surya JR Rokok 50gr,Samsu Premium JR Rokok 50gr,Surya JR Rokok 100gr,Samsu Premium JR Rokok 100gr,Mole Cap Jago Putih 100 gr,Banana ICE Jago rasa New50,Indomie Goreng,Violin 40gr,Strawberry Millky SW PREMIUM,Black Coffe SW Prime,GAYO,Brandy Duren Simadu,Alat Linting Kecil Regular,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Filter Mild 14gr,Filter Mild 50gr,Papir rokok,RM,Buffalo Baret,Jamaica Esse Duren Simadu Menthol,kotak jinggo"
2021-04-09,PJ0010,"3PUTRI Cap Nona 120gr Hitam,3PUTRI Cap Nona 100gr Pink,3P Cap Nona 120gr Hitam,3P Cap Nona 100gr Pink,Banana ICE Jago rasa New50,Redwine Duren Simadu,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Filter Klik Regular Menthol,Filter Regular 14gr,RM,Buffalo Baret"
2021-04-10,PJ0011,"Warning 50gr,Black Coffe SW Prime,KASTURI 30G,GAYO,Cappuchino Milk Duren Simadu,Alat Linting Kecil Regular,Filter Regular 14gr,RM,Buffalo Baret"
